type,Status,Amount_In_Dollars,Original_Date,Fee_In_Dollars,Market_Ticker,Direction,Order_Type,Price_In_Cents,Result
Trade,Filled,-4.00,2026-05-05 00:51:00,0.00,KXBTC15M,yes,limit,40,loss
Settlement,Settled,0.00,2026-05-05 01:06:00,0.00,KXBTC15M,yes,,40,loss
Trade,Filled,-32.00,2026-05-05 01:56:00,0.00,KXBTC15M,yes,limit,80,loss
Settlement,Settled,0.00,2026-05-05 02:11:00,0.00,KXBTC15M,yes,,80,loss
Trade,Filled,-8.25,2026-05-04 18:21:00,0.39,KXBTC15M,yes,market,33,loss
Settlement,Settled,0.00,2026-05-04 18:36:00,0.00,KXBTC15M,yes,,33,loss
Trade,Filled,-2.30,2026-05-04 21:19:00,0.13,KXBTC15M,yes,market,23,loss
Settlement,Settled,0.00,2026-05-04 21:34:00,0.00,KXBTC15M,yes,,23,loss
Trade,Filled,-36.50,2026-05-04 22:25:00,0.69,KXINXD,no,market,73,loss
Settlement,Settled,0.00,2026-05-04 22:40:00,0.00,KXINXD,no,,73,loss
Trade,Filled,-36.50,2026-05-05 03:57:00,0.00,KXETHD,yes,limit,73,loss
Settlement,Settled,0.00,2026-05-05 04:12:00,0.00,KXETHD,yes,,73,loss
Trade,Filled,-11.00,2026-05-05 02:56:00,0.60,KXETHD,yes,market,22,win
Settlement,Settled,50.00,2026-05-05 03:11:00,0.00,KXETHD,yes,,22,win
Trade,Filled,-7.60,2026-05-04 20:33:00,0.33,KXBTC15M,yes,market,38,win
Settlement,Settled,20.00,2026-05-04 20:48:00,0.00,KXBTC15M,yes,,38,win
Trade,Filled,-40.50,2026-05-04 23:33:00,0.54,KXETHD,yes,market,81,loss
Settlement,Settled,0.00,2026-05-04 23:48:00,0.00,KXETHD,yes,,81,loss
Trade,Filled,-12.50,2026-05-04 21:15:00,0.66,KXBTC15M,no,market,25,win
Settlement,Settled,50.00,2026-05-04 21:30:00,0.00,KXBTC15M,no,,25,win
Trade,Filled,-15.25,2026-05-04 19:04:00,0.00,KXBTCD,yes,limit,61,loss
Settlement,Settled,0.00,2026-05-04 19:19:00,0.00,KXBTCD,yes,,61,loss
Trade,Filled,-20.25,2026-05-05 01:43:00,0.00,KXETHD,no,limit,81,loss
Settlement,Settled,0.00,2026-05-05 01:58:00,0.00,KXETHD,no,,81,loss
Trade,Filled,-3.65,2026-05-05 01:38:00,0.07,KXBTC15M,no,market,73,win
Settlement,Settled,5.00,2026-05-05 01:53:00,0.00,KXBTC15M,no,,73,win
Trade,Filled,-2.90,2026-05-04 22:06:00,0.15,KXBTCD,yes,market,29,loss
Settlement,Settled,0.00,2026-05-04 22:21:00,0.00,KXBTCD,yes,,29,loss
Trade,Filled,-5.20,2026-05-05 00:14:00,0.00,KXBTC15M,yes,limit,52,win
Settlement,Settled,10.00,2026-05-05 00:29:00,0.00,KXBTC15M,yes,,52,win
Trade,Filled,-16.00,2026-05-05 00:47:00,0.00,KXBTCD,yes,limit,40,loss
Settlement,Settled,0.00,2026-05-05 01:02:00,0.00,KXBTCD,yes,,40,loss
Trade,Filled,-12.60,2026-05-05 02:47:00,0.33,KXBTCD,no,market,63,win
Settlement,Settled,20.00,2026-05-05 03:02:00,0.00,KXBTCD,no,,63,win
Trade,Filled,-15.75,2026-05-05 00:14:00,0.41,KXBTC15M,yes,market,63,loss
Settlement,Settled,0.00,2026-05-05 00:29:00,0.00,KXBTC15M,yes,,63,loss
Trade,Filled,-14.25,2026-05-04 23:39:00,0.00,KXETHD,yes,limit,57,loss
Settlement,Settled,0.00,2026-05-04 23:54:00,0.00,KXETHD,yes,,57,loss
Trade,Filled,-5.30,2026-05-04 19:47:00,0.18,KXBTC15M,yes,market,53,loss
Settlement,Settled,0.00,2026-05-04 20:02:00,0.00,KXBTC15M,yes,,53,loss
Trade,Filled,-10.60,2026-05-04 20:12:00,0.35,KXBTCD,no,market,53,loss
Settlement,Settled,0.00,2026-05-04 20:27:00,0.00,KXBTCD,no,,53,loss
Trade,Filled,-8.60,2026-05-05 22:45:00,0.00,KXBTC15M,no,limit,43,win
Settlement,Settled,20.00,2026-05-05 23:00:00,0.00,KXBTC15M,no,,43,win
Trade,Filled,-7.50,2026-05-05 19:30:00,0.00,KXBTC15M,yes,limit,30,loss
Settlement,Settled,0.00,2026-05-05 19:45:00,0.00,KXBTC15M,yes,,30,loss
Trade,Filled,-2.10,2026-05-05 20:04:00,0.00,KXBTCD,no,limit,21,loss
Settlement,Settled,0.00,2026-05-05 20:19:00,0.00,KXBTCD,no,,21,loss
Trade,Filled,-2.50,2026-05-06 20:12:00,0.00,KXBTC15M,no,limit,50,win
Settlement,Settled,5.00,2026-05-06 20:27:00,0.00,KXBTC15M,no,,50,win
Trade,Filled,-23.60,2026-05-06 21:05:00,0.68,KXBTC15M,yes,market,59,loss
Settlement,Settled,0.00,2026-05-06 21:20:00,0.00,KXBTC15M,yes,,59,loss
Trade,Filled,-4.20,2026-05-07 01:36:00,0.17,KXETHD,yes,market,42,loss
Settlement,Settled,0.00,2026-05-07 01:51:00,0.00,KXETHD,yes,,42,loss
Trade,Filled,-8.80,2026-05-06 18:37:00,0.48,KXBTC15M,yes,market,22,loss
Settlement,Settled,0.00,2026-05-06 18:52:00,0.00,KXBTC15M,yes,,22,loss
Trade,Filled,-13.20,2026-05-06 22:11:00,0.00,KXBTCD,no,limit,33,loss
Settlement,Settled,0.00,2026-05-06 22:26:00,0.00,KXBTCD,no,,33,loss
Trade,Filled,-8.40,2026-05-07 03:19:00,0.10,KXBTCD,yes,market,84,loss
Settlement,Settled,0.00,2026-05-07 03:34:00,0.00,KXBTCD,yes,,84,loss
Trade,Filled,-7.10,2026-05-06 21:23:00,0.00,KXBTC15M,yes,limit,71,win
Settlement,Settled,10.00,2026-05-06 21:38:00,0.00,KXBTC15M,yes,,71,win
Trade,Filled,-7.50,2026-05-06 19:12:00,0.14,KXBTC15M,no,market,75,loss
Settlement,Settled,0.00,2026-05-06 19:27:00,0.00,KXBTC15M,no,,75,loss
Trade,Filled,-5.00,2026-05-06 22:08:00,0.27,KXBTC15M,no,market,25,loss
Settlement,Settled,0.00,2026-05-06 22:23:00,0.00,KXBTC15M,no,,25,loss
Trade,Filled,-6.60,2026-05-06 18:03:00,0.00,KXBTC15M,no,limit,66,loss
Settlement,Settled,0.00,2026-05-06 18:18:00,0.00,KXBTC15M,no,,66,loss
Trade,Filled,-4.70,2026-05-06 18:35:00,0.18,KXBTC15M,no,market,47,loss
Settlement,Settled,0.00,2026-05-06 18:50:00,0.00,KXBTC15M,no,,47,loss
Trade,Filled,-13.75,2026-05-06 19:25:00,0.44,KXBTCD,yes,market,55,win
Settlement,Settled,25.00,2026-05-06 19:40:00,0.00,KXBTCD,yes,,55,win
Trade,Filled,-3.10,2026-05-06 19:33:00,0.15,KXBTC15M,yes,market,31,loss
Settlement,Settled,0.00,2026-05-06 19:48:00,0.00,KXBTC15M,yes,,31,loss
Trade,Filled,-23.20,2026-05-06 18:23:00,0.69,KXBTC15M,yes,market,58,loss
Settlement,Settled,0.00,2026-05-06 18:38:00,0.00,KXBTC15M,yes,,58,loss
Trade,Filled,-3.90,2026-05-06 23:33:00,0.17,KXBTCD,yes,market,39,win
Settlement,Settled,10.00,2026-05-06 23:48:00,0.00,KXBTCD,yes,,39,win
Trade,Filled,-8.40,2026-05-07 02:45:00,0.00,KXBTCD,yes,limit,84,loss
Settlement,Settled,0.00,2026-05-07 03:00:00,0.00,KXBTCD,yes,,84,loss
Trade,Filled,-2.50,2026-05-06 19:27:00,0.14,KXBTC15M,yes,market,25,loss
Settlement,Settled,0.00,2026-05-06 19:42:00,0.00,KXBTC15M,yes,,25,loss
Trade,Filled,-10.40,2026-05-07 01:42:00,0.54,KXINXD,yes,market,26,loss
Settlement,Settled,0.00,2026-05-07 01:57:00,0.00,KXINXD,yes,,26,loss
Trade,Filled,-39.00,2026-05-06 22:30:00,0.60,KXBTC15M,yes,market,78,win
Settlement,Settled,50.00,2026-05-06 22:45:00,0.00,KXBTC15M,yes,,78,win
Trade,Filled,-14.50,2026-05-07 02:05:00,0.72,KXBTC15M,yes,market,29,loss
Settlement,Settled,0.00,2026-05-07 02:20:00,0.00,KXBTC15M,yes,,29,loss
Trade,Filled,-3.40,2026-05-07 01:51:00,0.08,KXBTCD,no,market,68,win
Settlement,Settled,5.00,2026-05-07 02:06:00,0.00,KXBTCD,no,,68,win
Trade,Filled,-3.80,2026-05-06 21:23:00,0.17,KXBTC15M,no,market,38,loss
Settlement,Settled,0.00,2026-05-06 21:38:00,0.00,KXBTC15M,no,,38,loss
Trade,Filled,-5.40,2026-05-06 18:12:00,0.28,KXBTCD,yes,market,27,loss
Settlement,Settled,0.00,2026-05-06 18:27:00,0.00,KXBTCD,yes,,27,loss
Trade,Filled,-11.20,2026-05-07 02:21:00,0.35,KXBTC15M,yes,market,56,loss
Settlement,Settled,0.00,2026-05-07 02:36:00,0.00,KXBTC15M,yes,,56,loss
Trade,Filled,-4.00,2026-05-06 23:19:00,0.06,KXBTC15M,yes,market,80,loss
Settlement,Settled,0.00,2026-05-06 23:34:00,0.00,KXBTC15M,yes,,80,loss
Trade,Filled,-2.30,2026-05-08 00:36:00,0.09,KXBTC15M,yes,market,46,loss
Settlement,Settled,0.00,2026-05-08 00:51:00,0.00,KXBTC15M,yes,,46,loss
Trade,Filled,-8.50,2026-05-08 00:08:00,0.00,KXBTC15M,no,limit,85,loss
Settlement,Settled,0.00,2026-05-08 00:23:00,0.00,KXBTC15M,no,,85,loss
Trade,Filled,-3.50,2026-05-08 02:29:00,0.08,KXBTCD,no,market,70,loss
Settlement,Settled,0.00,2026-05-08 02:44:00,0.00,KXBTCD,no,,70,loss
Trade,Filled,-7.60,2026-05-08 00:55:00,0.33,KXBTC15M,no,market,38,win
Settlement,Settled,20.00,2026-05-08 01:10:00,0.00,KXBTC15M,no,,38,win
Trade,Filled,-31.50,2026-05-08 18:01:00,0.82,KXBTC15M,yes,market,63,win
Settlement,Settled,50.00,2026-05-08 18:16:00,0.00,KXBTC15M,yes,,63,win
Trade,Filled,-3.35,2026-05-08 22:56:00,0.08,KXBTC15M,yes,market,67,loss
Settlement,Settled,0.00,2026-05-08 23:11:00,0.00,KXBTC15M,yes,,67,loss
Trade,Filled,-2.60,2026-05-09 01:18:00,0.14,KXBTC15M,no,market,26,loss
Settlement,Settled,0.00,2026-05-09 01:33:00,0.00,KXBTC15M,no,,26,loss
Trade,Filled,-18.75,2026-05-08 22:15:00,0.33,KXBTC15M,no,market,75,loss
Settlement,Settled,0.00,2026-05-08 22:30:00,0.00,KXBTC15M,no,,75,loss
Trade,Filled,-18.40,2026-05-08 18:29:00,0.70,KXBTCD,no,market,46,loss
Settlement,Settled,0.00,2026-05-08 18:44:00,0.00,KXBTCD,no,,46,loss
Trade,Filled,-4.10,2026-05-08 20:21:00,0.00,KXBTC15M,yes,limit,82,loss
Settlement,Settled,0.00,2026-05-08 20:36:00,0.00,KXBTC15M,yes,,82,loss
Trade,Filled,-6.30,2026-05-09 02:03:00,0.17,KXBTCD,no,market,63,loss
Settlement,Settled,0.00,2026-05-09 02:18:00,0.00,KXBTCD,no,,63,loss
Trade,Filled,-20.25,2026-05-08 22:04:00,0.27,KXBTC15M,yes,market,81,loss
Settlement,Settled,0.00,2026-05-08 22:19:00,0.00,KXBTC15M,yes,,81,loss
Trade,Filled,-11.50,2026-05-08 20:45:00,0.00,KXBTC15M,no,limit,46,loss
Settlement,Settled,0.00,2026-05-08 21:00:00,0.00,KXBTC15M,no,,46,loss
Trade,Filled,-15.40,2026-05-09 01:43:00,0.25,KXBTC15M,yes,market,77,loss
Settlement,Settled,0.00,2026-05-09 01:58:00,0.00,KXBTC15M,yes,,77,loss
Trade,Filled,-15.75,2026-05-08 19:32:00,0.41,KXBTC15M,yes,market,63,loss
Settlement,Settled,0.00,2026-05-08 19:47:00,0.00,KXBTC15M,yes,,63,loss
Trade,Filled,-2.25,2026-05-08 22:24:00,0.09,KXHIGHNY,no,market,45,loss
Settlement,Settled,0.00,2026-05-08 22:39:00,0.00,KXHIGHNY,no,,45,loss
Trade,Filled,-9.20,2026-05-09 01:03:00,0.35,KXETHD,yes,market,46,loss
Settlement,Settled,0.00,2026-05-09 01:18:00,0.00,KXETHD,yes,,46,loss
Trade,Filled,-6.60,2026-05-08 22:44:00,0.16,KXHIGHNY,yes,market,66,win
Settlement,Settled,10.00,2026-05-08 22:59:00,0.00,KXHIGHNY,yes,,66,win
Trade,Filled,-13.80,2026-05-08 22:37:00,0.30,KXBTC15M,no,market,69,loss
Settlement,Settled,0.00,2026-05-08 22:52:00,0.00,KXBTC15M,no,,69,loss
Trade,Filled,-4.80,2026-05-08 18:22:00,0.26,KXBTC15M,no,market,24,loss
Settlement,Settled,0.00,2026-05-08 18:37:00,0.00,KXBTC15M,no,,24,loss
Trade,Filled,-35.00,2026-05-08 18:00:00,0.74,KXBTC15M,no,market,70,loss
Settlement,Settled,0.00,2026-05-08 18:15:00,0.00,KXBTC15M,no,,70,loss
Trade,Filled,-4.80,2026-05-08 22:14:00,0.18,KXBTC15M,yes,market,48,loss
Settlement,Settled,0.00,2026-05-08 22:29:00,0.00,KXBTC15M,yes,,48,loss
Trade,Filled,-1.25,2026-05-08 19:27:00,0.07,KXINXD,yes,market,25,win
Settlement,Settled,5.00,2026-05-08 19:42:00,0.00,KXINXD,yes,,25,win
Trade,Filled,-13.00,2026-05-08 23:11:00,0.44,KXBTC15M,yes,market,52,win
Settlement,Settled,25.00,2026-05-08 23:26:00,0.00,KXBTC15M,yes,,52,win
Trade,Filled,-8.80,2026-05-09 23:07:00,0.35,KXETHD,yes,market,44,win
Settlement,Settled,20.00,2026-05-09 23:22:00,0.00,KXETHD,yes,,44,win
Trade,Filled,-7.80,2026-05-10 03:10:00,0.00,KXBTC15M,yes,limit,78,loss
Settlement,Settled,0.00,2026-05-10 03:25:00,0.00,KXBTC15M,yes,,78,loss
Trade,Filled,-2.55,2026-05-10 02:58:00,0.00,KXBTC15M,no,limit,51,win
Settlement,Settled,5.00,2026-05-10 03:13:00,0.00,KXBTC15M,no,,51,win
Trade,Filled,-3.65,2026-05-10 21:18:00,0.07,KXBTCD,no,market,73,loss
Settlement,Settled,0.00,2026-05-10 21:33:00,0.00,KXBTCD,no,,73,loss
Trade,Filled,-9.60,2026-05-10 21:52:00,0.51,KXBTCD,no,market,24,loss
Settlement,Settled,0.00,2026-05-10 22:07:00,0.00,KXBTCD,no,,24,loss
Trade,Filled,-22.80,2026-05-11 21:22:00,0.00,KXBTC15M,yes,limit,57,loss
Settlement,Settled,0.00,2026-05-11 21:37:00,0.00,KXBTC15M,yes,,57,loss
Trade,Filled,-29.50,2026-05-12 02:27:00,0.00,KXBTC15M,yes,limit,59,loss
Settlement,Settled,0.00,2026-05-12 02:42:00,0.00,KXBTC15M,yes,,59,loss
Trade,Filled,-2.85,2026-05-11 21:46:00,0.00,KXBTC15M,no,limit,57,loss
Settlement,Settled,0.00,2026-05-11 22:01:00,0.00,KXBTC15M,no,,57,loss
Trade,Filled,-29.20,2026-05-11 21:48:00,0.56,KXBTCD,yes,market,73,loss
Settlement,Settled,0.00,2026-05-11 22:03:00,0.00,KXBTCD,yes,,73,loss
Trade,Filled,-5.75,2026-05-11 18:55:00,0.31,KXBTC15M,yes,market,23,win
Settlement,Settled,25.00,2026-05-11 19:10:00,0.00,KXBTC15M,yes,,23,win
Trade,Filled,-30.80,2026-05-11 21:08:00,0.00,KXBTCD,yes,limit,77,win
Settlement,Settled,40.00,2026-05-11 21:23:00,0.00,KXBTCD,yes,,77,win
Trade,Filled,-4.40,2026-05-11 20:49:00,0.18,KXBTC15M,no,market,44,win
Settlement,Settled,10.00,2026-05-11 21:04:00,0.00,KXBTC15M,no,,44,win
Trade,Filled,-6.70,2026-05-11 23:19:00,0.16,KXBTCD,yes,market,67,win
Settlement,Settled,10.00,2026-05-11 23:34:00,0.00,KXBTCD,yes,,67,win
Trade,Filled,-3.00,2026-05-11 19:20:00,0.15,KXBTC15M,yes,market,30,loss
Settlement,Settled,0.00,2026-05-11 19:35:00,0.00,KXBTC15M,yes,,30,loss
Trade,Filled,-29.50,2026-05-12 00:29:00,0.00,KXBTC15M,yes,limit,59,win
Settlement,Settled,50.00,2026-05-12 00:44:00,0.00,KXBTC15M,yes,,59,win
Trade,Filled,-16.75,2026-05-12 02:04:00,0.00,KXBTC15M,yes,limit,67,loss
Settlement,Settled,0.00,2026-05-12 02:19:00,0.00,KXBTC15M,yes,,67,loss
Trade,Filled,-9.20,2026-05-12 00:12:00,0.50,KXBTCD,no,market,23,win
Settlement,Settled,40.00,2026-05-12 00:27:00,0.00,KXBTCD,no,,23,win
Trade,Filled,-3.95,2026-05-12 00:24:00,0.00,KXBTC15M,yes,limit,79,loss
Settlement,Settled,0.00,2026-05-12 00:39:00,0.00,KXBTC15M,yes,,79,loss
Trade,Filled,-6.30,2026-05-11 21:19:00,0.17,KXBTC15M,yes,market,63,loss
Settlement,Settled,0.00,2026-05-11 21:34:00,0.00,KXBTC15M,yes,,63,loss
Trade,Filled,-2.90,2026-05-11 23:24:00,0.09,KXBTC15M,yes,market,58,win
Settlement,Settled,5.00,2026-05-11 23:39:00,0.00,KXBTC15M,yes,,58,win
Trade,Filled,-32.00,2026-05-11 21:59:00,0.00,KXBTC15M,no,limit,80,loss
Settlement,Settled,0.00,2026-05-11 22:14:00,0.00,KXBTC15M,no,,80,loss
Trade,Filled,-7.20,2026-05-12 01:20:00,0.33,KXBTCD,no,market,36,loss
Settlement,Settled,0.00,2026-05-12 01:35:00,0.00,KXBTCD,no,,36,loss
Trade,Filled,-12.00,2026-05-11 22:01:00,0.34,KXBTC15M,yes,market,60,loss
Settlement,Settled,0.00,2026-05-11 22:16:00,0.00,KXBTC15M,yes,,60,loss
Trade,Filled,-3.60,2026-05-12 20:43:00,0.07,KXBTC15M,no,market,72,loss
Settlement,Settled,0.00,2026-05-12 20:58:00,0.00,KXBTC15M,no,,72,loss
Trade,Filled,-1.65,2026-05-12 20:44:00,0.08,KXBTCD,yes,market,33,loss
Settlement,Settled,0.00,2026-05-12 20:59:00,0.00,KXBTCD,yes,,33,loss
Trade,Filled,-33.20,2026-05-12 19:38:00,0.00,KXBTCD,yes,limit,83,loss
Settlement,Settled,0.00,2026-05-12 19:53:00,0.00,KXBTCD,yes,,83,loss
Trade,Filled,-19.50,2026-05-12 20:16:00,0.00,KXBTCD,yes,limit,78,win
Settlement,Settled,25.00,2026-05-12 20:31:00,0.00,KXBTCD,yes,,78,win
Trade,Filled,-13.75,2026-05-12 23:00:00,0.44,KXBTC15M,no,market,55,loss
Settlement,Settled,0.00,2026-05-12 23:15:00,0.00,KXBTC15M,no,,55,loss
Trade,Filled,-5.10,2026-05-12 21:23:00,0.18,KXBTCD,yes,market,51,loss
Settlement,Settled,0.00,2026-05-12 21:38:00,0.00,KXBTCD,yes,,51,loss
Trade,Filled,-3.05,2026-05-13 03:52:00,0.09,KXBTC15M,yes,market,61,loss
Settlement,Settled,0.00,2026-05-13 04:07:00,0.00,KXBTC15M,yes,,61,loss
Trade,Filled,-1.20,2026-05-12 19:42:00,0.07,KXBTCD,yes,market,24,loss
Settlement,Settled,0.00,2026-05-12 19:57:00,0.00,KXBTCD,yes,,24,loss
Trade,Filled,-5.70,2026-05-13 00:22:00,0.18,KXBTC15M,yes,market,57,loss
Settlement,Settled,0.00,2026-05-13 00:37:00,0.00,KXBTC15M,yes,,57,loss
Trade,Filled,-42.50,2026-05-12 19:16:00,0.45,KXBTC15M,no,market,85,win
Settlement,Settled,50.00,2026-05-12 19:31:00,0.00,KXBTC15M,no,,85,win
Trade,Filled,-2.35,2026-05-12 19:48:00,0.09,KXBTC15M,yes,market,47,win
Settlement,Settled,5.00,2026-05-12 20:03:00,0.00,KXBTC15M,yes,,47,win
Trade,Filled,-6.00,2026-05-12 21:28:00,0.32,KXBTC15M,yes,market,24,win
Settlement,Settled,25.00,2026-05-12 21:43:00,0.00,KXBTC15M,yes,,24,win
Trade,Filled,-6.70,2026-05-12 23:35:00,0.16,KXBTCD,yes,market,67,loss
Settlement,Settled,0.00,2026-05-12 23:50:00,0.00,KXBTCD,yes,,67,loss
Trade,Filled,-4.05,2026-05-12 18:32:00,0.06,KXBTCD,no,market,81,loss
Settlement,Settled,0.00,2026-05-12 18:47:00,0.00,KXBTCD,no,,81,loss
